ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1576,Court 13,7.3/10,86%,86/100,1
1577,Journeyman Pictures,7.4/10,91%,86/100,2
1578,Elle Driver Productions,5.3/10,43%,49/100,1
1579,Eye for an Eye Filmworks,5.3/10,43%,49/100,1
1580,Tazora Films,5.3/10,43%,49/100,1
1581,Cinema Management Group,5.3/10,43%,49/100,1
1582,Cirque du Soleil Burlesco,6.8/10,46%,5/100,1
1583,Strange Weather Films,6.8/10,46%,5/100,1
1584,Cameron Pace Group,6.8/10,46%,5/100,1
1585,Animus Films,7.0/10,24%,37/100,1
1586,Serena Films,7.0/10,24%,37/100,1
1587,Waterfall Media,7.0/10,24%,37/100,1
1588,Castle Rock Entertainment (absent),6.8/10,89%,75/100,1
1589,Mandalay Vision,6.9/10,76%,71/100,3
1590,Wind Dancer Films,6.6/10,72%,61/100,2
1591,Collins House Productions,6.8/10,89%,75/100,1
1592,Horsethief Pictures,6.8/10,89%,75/100,1
1593,UK Film Council,6.8/10,75%,66/100,24
1594,Kudos Pictures,7.2/10,78%,70/100,2
1595,Green Room Films,6.6/10,87%,73/100,1
1596,Artina Films,7.2/10,83%,73/100,3
1597,Points West Pictures,6.2/10,66%,55/100,1
1598,Fortress Features,6.2/10,34%,34/100,2
1599,Les Films du Losange,7.9/10,93%,94/100,1
1600,Wega Film,7.8/10,89%,88/100,2
1601,Daybreak Pictures,5.9/10,37%,55/100,1
1602,Cold Spring Pictures,6.5/10,52%,47/100,6
1603,Deuce Three Productions,6.5/10,45%,33/100,3
1604,Such Much Films,7.2/10,93%,79/100,1
1605,Rhino Films,7.2/10,93%,79/100,1
1606,Inferno Pictures Inc.,6.8/10,82%,64/100,1
1607,Galavis Film,4.9/10,5%,22/100,1
1608,Film Rites,4.9/10,5%,22/100,1
1609,"Fria Luz Del Dia, A.I.E.",4.9/10,5%,22/100,1
1610,Red Box Film,8.2/10,94%,79/100,1
1611,Passion Pictures,8.1/10,94%,82/100,2
1612,Canfield Pictures,8.2/10,94%,79/100,1
1613,Sveriges Television,7.7/10,90%,60/100,4
1614,Yle Co-Production,8.2/10,94%,79/100,1
1615,Hysteria Film,8.2/10,94%,79/100,1
1616,Veritas Entertainment,4.0/10,0%,N/A/100,1
1617,White Hat Entertainment,7.0/10,87%,67/100,1
1618,Dog Run Pictures,7.0/10,87%,67/100,1
1619,Mockingbird Pictures,7.0/10,68%,60/100,2
1620,Trillium Productions,6.7/10,56%,57/100,1
1621,Parallel Film Productions,6.7/10,56%,57/100,1
1622,Morrison Films,6.7/10,56%,57/100,1
1623,WestEnd Films,6.7/10,56%,57/100,1
1624,Chrysalis Films,6.7/10,56%,57/100,1
1625,Allen & Associates,6.7/10,56%,57/100,1
1626,Ishana Movies,8.0/10,92%,N/A/100,1
1627,Magidson Films,8.5/10,77%,65/100,1
1628,Arbaaz Khan Productions,5.6/10,40%,N/A/100,2
1629,Bedrock Media,6.8/10,84%,7/100,1
1630,WBEZ Chicago,6.8/10,84%,7/100,1
1631,United King Films,7.0/10,90%,82/100,1
1632,Movie Plus,7.0/10,90%,82/100,1
1633,Sports Studio,6.0/10,41%,42/100,1
1634,Informant Media,7.0/10,74%,68/100,2
1635,Beachfront Films,6.7/10,57%,53/100,1
1636,Forthcoming Productions,6.7/10,57%,53/100,1
1637,Chimera Films LLC,6.7/10,57%,53/100,1
1638,by alternative pictures,6.7/10,57%,53/100,1
1639,Delux Productions,6.7/10,57%,53/100,1
1640,Lankn Media,6.7/10,57%,53/100,1
1641,WDR/Arte,6.7/10,57%,53/100,1
1642,arte France Cinéma,7.1/10,69%,47/100,3
1643,Ada Films,6.7/10,83%,72/100,1
1644,Opening Night Productions,7.0/10,77%,67/100,1
1645,RKO Pictures,5.5/10,42%,52/100,2
1646,Zentropa Entertainments,7.8/10,78%,40/100,2
1647,DR TV,7.6/10,89%,73/100,1
1648,Trollhättan Film AB,7.6/10,89%,73/100,1
1649,Tuff Gong Pictures,8.0/10,95%,82/100,1
1650,Rapsodie Production,7.4/10,80%,63/100,1
1651,AdScott Pictures,6.0/10,56%,55/100,1
1652,Astral,6.6/10,77%,68/100,1
1653,The Harold Greenberg Fund,6.6/10,77%,68/100,1
1654,Joe's Daughter,6.6/10,77%,68/100,1
1655,Illuminati Films,6.5/10,N/A%,N/A/100,2
1656,Ajay Devgn FFilms,5.8/10,67%,N/A/100,2
1657,Shree Ashtavinayak Cine Vision Ltd,5.5/10,67%,N/A/100,1
1658,Friland Film,7.6/10,93%,72/100,1
1659,Yellow Bird,7.7/10,88%,29/100,3
1660,Artificial Eye,6.7/10,86%,78/100,2
1661,Kenn Viselman Presents,6.3/10,27%,32/100,1
1662,Big Balloon Adventure Movie,6.3/10,27%,32/100,1
1663,"Zebra Films, Schmidtz Katze Filmkollektiv, the Film Works",7.3/10,88%,74/100,1
1664,First Position Films,7.6/10,93%,72/100,1
1665,Harbinger Media Partners,7.3/10,70%,N/A/100,1
1666,Veracity Moving Pictures,7.3/10,70%,N/A/100,1
1667,Free To Love,7.3/10,70%,N/A/100,1
1668,Wigram Productions,7.5/10,64%,52/100,2
1669,Big Screen Productions,5.7/10,52%,55/100,3
1670,Ingenious Film Partners,6.6/10,53%,53/100,16
1671,Harbinger Pictures,8.0/10,75%,62/100,1
1672,Industrial Light & Magic,7.2/10,87%,75/100,1
1673,Mosaic Media Group,5.9/10,42%,37/100,16
1674,Carousel Productions,7.4/10,78%,68/100,1
1675,Many Rivers Productions,7.4/10,69%,59/100,1
1676,Boy of the Year,7.4/10,69%,59/100,1
1677,Intermedia Film,7.4/10,69%,59/100,1
1678,Imagenation Abu Dhabi,5.6/10,68%,37/100,4
1679,Scooter Braun Films,0.6/10,64%,52/100,1
1680,L.A. Reid Media,0.6/10,64%,52/100,1
1681,Island Def Jam Music Group,0.6/10,64%,52/100,1
1682,Dr. D Studios,5.9/10,46%,5/100,1
1683,Babelsberg Studios,6.9/10,56%,56/100,1
1684,Medienboard Berlin-Brandenburg,7.5/10,64%,59/100,2
1685,Deutscher Filmforderfonds,6.9/10,56%,56/100,1
1686,Gambit Pictures,7.0/10,71%,6/100,1
1687,Electric Shepherd Productions,7.0/10,71%,6/100,1
1688,Flashpoint Entertainment,6.9/10,60%,52/100,1
1689,Stone Village Pictures,7.0/10,68%,56/100,2
1690,Mediapro,7.0/10,73%,7/100,3
1691,Televisió de Catalunya (TV3),7.7/10,93%,8/100,1
1692,Versátil Cinema,7.5/10,82%,7/100,2
1693,Zucker Productions,6.5/10,56%,58/100,2
1694,Bay Films,6.0/10,33%,36/100,1
1695,Vendôme Pictures,6.8/10,64%,39/100,2
1696,Dylan Sellers,5.9/10,69%,58/100,1
1697,Zadan/Meron,5.9/10,69%,58/100,1
1698,Weston Pictures,5.9/10,69%,58/100,1
1699,La Petite Reine,7.9/10,95%,89/100,1
1700,ARP Sélection,7.9/10,95%,89/100,1
1701,Studio 37,7.7/10,84%,74/100,2
1702,La Classe Américaine,7.9/10,95%,89/100,1
1703,France 3 Cinema,7.9/10,95%,89/100,1
1704,U Film,7.9/10,95%,89/100,1
1705,Jouror Productions,7.9/10,95%,89/100,1
1706,JD Prod,7.9/10,95%,89/100,1
1707,Brookwell McNamara Entertainment,6.5/10,30%,43/100,2
1708,Island Film Group,7.0/10,46%,53/100,1
1709,Enticing Entertainment,7.0/10,46%,53/100,1
1710,Life's a Beach Entertainment,7.0/10,46%,53/100,1
1711,Practical Pictures,5.8/10,52%,4/100,2
1712,Babelsberg Studio,6.8/10,68%,49/100,3
1713,Holleran Company,6.8/10,71%,65/100,1
1714,2S Films,6.5/10,35%,44/100,4
1715,Corvus Corax Productions,6.2/10,59%,52/100,1
1716,Outerbanks Entertainment,5.6/10,59%,28/100,2
1717,Friendly Films,4.7/10,12%,32/100,2
1718,Runteldat Entertainment,4.9/10,19%,30/100,7
1719,The Collective,4.4/10,5%,22/100,1
1720,Studiocanal,7.0/10,71%,57/100,1
1721,Wintergreen Productions,6.5/10,52%,62/100,2
1722,Our Stories Films,3.9/10,32%,32/100,2
1723,Red Hour Films,6.4/10,52%,53/100,4
1724,Motel Movies,7.8/10,93%,78/100,1
1725,Point Grey,7.7/10,94%,72/100,1
1726,Sherwood Pictures,6.8/10,28%,36/100,3
1727,TriBeCa Productions,6.0/10,43%,32/100,8
1728,MBST Entertainment,5.7/10,25%,36/100,1
1729,Langley Park Productions,5.7/10,25%,36/100,1
1730,Yuk Films,6.4/10,51%,54/100,1
1731,CinéCinéma,6.8/10,67%,43/100,5
1732,Goldcrest Films,6.4/10,51%,54/100,1
1733,Tokyopop,5.7/10,15%,4/100,1
1734,Quick Six Entertainment,5.0/10,4%,25/100,1
1735,Tailor Made,5.0/10,4%,25/100,1
1736,Omnilab Media,6.5/10,25%,44/100,1
1737,Ambience Entertainment,6.5/10,25%,44/100,1
1738,Current Entertainment,6.4/10,39%,18/100,3
1739,Sighvatsson Films,6.8/10,44%,51/100,2
1740,Film Victoria,6.9/10,60%,64/100,2
1741,Wales Creative IP Fund,6.5/10,25%,44/100,1
1742,Agora Films,6.5/10,25%,44/100,1
1743,International Traders,6.5/10,25%,44/100,1
1744,Mascot Pictures Wales,6.5/10,25%,44/100,1
1745,Karla Films,7.0/10,83%,85/100,1
1746,Paradis Films,7.0/10,83%,85/100,1
1747,Kinowelt Filmproduktion,7.0/10,83%,85/100,1
1748,Necropia,5.6/10,58%,56/100,1
1749,Gran Via,5.7/10,41%,46/100,3
1750,Wayfare Entertainment,6.5/10,44%,52/100,2
1751,Blossom Films,5.8/10,39%,43/100,1
1752,Stuber Pictures,5.8/10,25%,28/100,4
1753,Jacobson Company,4.9/10,12%,8/100,1
1754,ImageMovers Digital,6.1/10,46%,52/100,2
1755,Nu Image Films,6.3/10,39%,48/100,3
1756,Paradox Entertainment,5.2/10,24%,36/100,1
1757,NEF Productions,5.8/10,24%,35/100,1
1758,New Legacy Film,5.8/10,24%,35/100,1
1759,Toledo Productions,6.2/10,39%,55/100,1
1760,Silverwood Films,5.7/10,52%,15/100,2
1761,Next Entertainment,5.4/10,33%,26/100,5
1762,Vistar Films,6.4/10,72%,64/100,1
1763,Denver & Delilah Films,6.8/10,81%,40/100,2
1764,Smokewood Entertainment,4.2/10,19%,37/100,1
1765,LipSync Productions,7.0/10,83%,65/100,1
1766,Random House Films,7.0/10,37%,48/100,1
1767,Mimran Schur Pictures,6.8/10,67%,32/100,2
1768,Solaris Entertainment,8.2/10,83%,7/100,1
1769,Filmtribe,8.2/10,83%,7/100,1
1770,Film Engine,6.2/10,50%,56/100,1
1771,Ryan Murphy Productions,5.8/10,46%,50/100,2
1772,20th Century Fox Television,5.4/10,60%,48/100,1
1773,American Film Company,6.9/10,55%,55/100,1
1774,"Wildwood Enterprises, Inc",7.0/10,55%,59/100,3
1775,Battleplan Productions,6.2/10,50%,50/100,2
1776,Next Wednesday Productions,7.2/10,94%,75/100,1
1777,Kanbar Entertainment,4.8/10,11%,2/100,2
1778,Kanbar Animation,4.8/10,11%,2/100,2
1779,Arc Productions,4.8/10,11%,2/100,1
1780,Codeblack Entertainment,7.5/10,71%,N/A/100,1
1781,Comedy Central Films,6.7/10,52%,47/100,2
1782,Usual Suspects Productions,7.5/10,71%,N/A/100,1
1783,Hugo Productions,7.5/10,72%,59/100,1
1784,TPS Star,7.5/10,71%,42/100,5
1785,Kinology,7.5/10,72%,59/100,1
1786,Ile de France,7.5/10,72%,59/100,1
1787,Deuce Three,6.2/10,41%,53/100,1
1788,Parts & Labor,7.2/10,84%,8/100,1
1789,Northwood Productions,7.2/10,84%,8/100,1
1790,Aegis Film Fund,7.3/10,95%,78/100,1
1791,Prescience,7.2/10,80%,66/100,2
1792,RTÉ,7.6/10,96%,83/100,2
1793,Creative Differences,7.4/10,96%,86/100,1
1794,History Films,7.4/10,96%,86/100,1
1795,Ministère de la Culture et de la Communication,7.4/10,96%,86/100,1
1796,Arte France,7.4/10,96%,86/100,1
1797,Werner Herzog Filmproduktion,7.4/10,96%,86/100,1
1798,More4,7.4/10,96%,86/100,1
1799,Televisió de Catalunya,7.5/10,65%,58/100,1
1800,Televisión Española,7.5/10,77%,24/100,3
1801,Cha Cha Cha Films,7.1/10,72%,63/100,3
1802,The Strike Productions,5.7/10,10%,28/100,1
1803,Anonymous Pictures,6.9/10,46%,5/100,1
1804,Studio Babelsberg Motion Pictures,6.9/10,46%,5/100,1
1805,Filmax,6.7/10,71%,58/100,2
1806,Elixir Films,7.4/10,83%,64/100,1
1807,Utopia Pictures & Television,6.0/10,15%,37/100,1
1808,"Cedar Creek Productions, LLC",7.6/10,89%,76/100,1
1809,Armada Films,7.2/10,92%,86/100,1
1810,Super Crispy Entertainment,6.7/10,72%,68/100,1
1811,El Deseo S.A.,7.8/10,86%,46/100,2
1812,Blue Haze Entertainment,7.6/10,80%,7/100,1
1813,Canal+ España,7.3/10,75%,46/100,3
1814,Instituto de la Cinematografía y de las Artes Audiovisuales,7.6/10,80%,7/100,1
1815,Televisa,5.8/10,21%,48/100,2
1816,Hyperion Films,5.5/10,21%,39/100,1
1817,Zentropa,7.3/10,78%,36/100,2
1818,Memfis Film,7.0/10,79%,8/100,1
1819,Slot Machine,7.0/10,79%,8/100,1
1820,Liberator Productions,7.0/10,79%,8/100,1
1821,Danmarks Radio,7.0/10,79%,8/100,1
1822,Centre national du cinéma et de l’image animée,7.0/10,79%,8/100,1
