ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2246,Santosh Sivan Productions,6.6/10,49%,47/100,1
2247,MP BETA Productions,8.0/10,93%,85/100,1
2248,Ludlum Entertainment,7.9/10,87%,79/100,2
2249,Junction Entertainment,6.7/10,40%,44/100,2
2250,Dune Entertainment III LLC,5.3/10,32%,41/100,2
2251,Roger Birnbaum Productions,6.2/10,18%,44/100,1
2252,Arthur Sarkissian Productions,6.2/10,18%,44/100,1
2253,Unlike Film Productions,6.2/10,18%,44/100,1
2254,Cheyenne Enterprises,5.8/10,37%,36/100,8
2255,Sonnenfeld Josephson Entertainment,7.0/10,93%,75/100,1
2256,Columbus 81 Productions,6.0/10,51%,54/100,1
2257,Zadan/Meron Productions,7.0/10,88%,45/100,2
2258,Section Eight Productions,7.0/10,72%,59/100,8
2259,Femme Enceinte Pictures,5.2/10,26%,35/100,1
2260,GH One,5.2/10,26%,35/100,1
2261,Vengeance Productions Pty Ltd.,5.2/10,26%,35/100,1
2262,Shady Acres Entertainment,6.0/10,22%,36/100,3
2263,Scholastic Productions,6.0/10,42%,5/100,1
2264,Participant Productions,7.3/10,79%,54/100,7
2265,Tree Line Film,7.7/10,89%,76/100,1
2266,Reserve Room,6.5/10,63%,59/100,1
2267,Revolution Studios,5.6/10,29%,37/100,41
2268,Samuels Media,7.2/10,82%,74/100,2
2269,Stuber/Parent,7.0/10,51%,56/100,1
2270,Underground Films and Management,5.3/10,7%,25/100,1
2271,Proposal Productions,5.3/10,7%,25/100,1
2272,Anka Film,6.3/10,N/A%,35/100,1
2273,Daybreak Productions,6.3/10,N/A%,35/100,1
2274,Prime Universe Productions,6.3/10,N/A%,35/100,1
2275,Castle Rock,7.2/10,71%,68/100,1
2276,Weinstock Entertainment,7.2/10,71%,68/100,1
2277,M7 Filmproduktion,7.2/10,71%,68/100,1
2278,Tiger Aspect Productions,6.4/10,52%,56/100,1
2279,Harpo Productions,7.6/10,N/A%,65/100,1
2280,Figment Films,7.0/10,71%,78/100,1
2281,Sogecine,7.0/10,71%,78/100,1
2282,Koan Films,7.0/10,71%,78/100,1
2283,Element Films,7.0/10,42%,24/100,2
2284,Eden Rock Media,7.0/10,42%,24/100,2
2285,Tig Productions,7.4/10,67%,56/100,2
2286,Dino De Laurentiis Company,6.2/10,34%,48/100,4
2287,Carthago Films,6.2/10,15%,35/100,1
2288,Etic Films,5.2/10,10%,30/100,2
2289,Virtual Studios,6.8/10,50%,49/100,7
2290,Darkwoods Productions,7.2/10,72%,58/100,1
2291,(,7.5/10,76%,42/100,4
2292,DP,7.6/10,83%,77/100,1
2293,),7.5/10,79%,54/100,3
2294,Rodriguez International Pictures,7.6/10,83%,77/100,1
2295,PT,7.6/10,83%,77/100,1
2296,Fierce Entertainment,6.3/10,N/A%,36/100,1
2297,FourBoys Films,7.5/10,70%,65/100,1
2298,Bristol Bay Productions,7.1/10,63%,47/100,3
2299,YouTube.com/pinkpandaman21,7.5/10,70%,65/100,1
2300,Hollywood Pictures,5.6/10,21%,30/100,6
2301,High Sierra Carpeting,5.9/10,34%,47/100,1
2302,The Ladd Company,7.3/10,74%,60/100,2
2303,Mr. Madison 23 Productions,7.5/10,64%,6/100,1
2304,Sunlight Productions,7.5/10,64%,6/100,1
2305,Hal Lieberman Company,6.2/10,56%,54/100,1
2306,Mandalay Productions,5.9/10,18%,25/100,1
